time,Step_Input,Underdamped,Critical,Overdamped
2.66,1,0.89247,0.493704,0.309317
2.67,1,0.899775,0.496856,0.31116
2.68,1,0.907061,0.499996,0.312998
2.69,1,0.914327,0.503123,0.314831
2.7,1,0.921573,0.506237,0.31666
2.71,1,0.928798,0.509338,0.318484
2.72,1,0.936001,0.512427,0.320303
2.73,1,0.943182,0.515502,0.322118
2.74,1,0.950339,0.518565,0.323927
2.75,1,0.957473,0.521615,0.325732
2.76,1,0.964583,0.524652,0.327533
2.77,1,0.971668,0.527675,0.329329
2.78,1,0.978727,0.530686,0.33112
2.79,1,0.985761,0.533683,0.332906
2.8,1,0.992767,0.536667,0.334688
2.81,1,0.999747,0.539638,0.336465
2.82,1,1.0067,0.542596,0.338237
2.83,1,1.01362,0.54554,0.340005
2.84,1,1.02052,0.548471,0.341769
2.85,1,1.02738,0.551389,0.343527
2.86,1,1.03422,0.554294,0.345281
2.87,1,1.04102,0.557185,0.347031
2.88,1,1.04779,0.560062,0.348775
2.89,1,1.05453,0.562927,0.350516
2.9,1,1.06124,0.565777,0.352251
2.91,1,1.06792,0.568615,0.353982
2.92,1,1.07456,0.571439,0.355709
2.93,1,1.08117,0.574249,0.357431
2.94,1,1.08774,0.577046,0.359148
2.95,1,1.09428,0.579829,0.360861
2.96,1,1.10078,0.582599,0.36257
2.97,1,1.10725,0.585355,0.364274
2.98,1,1.11368,0.588098,0.365973
2.99,1,1.12007,0.590827,0.367668
3,1,1.12643,0.593543,0.369359
3.01,1,1.13275,0.596245,0.371045
3.02,1,1.13903,0.598934,0.372726
3.03,1,1.14527,0.601609,0.374403
3.04,1,1.15147,0.604271,0.376076
3.05,1,1.15763,0.606919,0.377744
3.06,1,1.16375,0.609553,0.379408
3.07,1,1.16983,0.612174,0.381068
3.08,1,1.17587,0.614782,0.382723
3.09,1,1.18187,0.617376,0.384373
3.1,1,1.18782,0.619956,0.38602
3.11,1,1.19374,0.622524,0.387662
3.12,1,1.19961,0.625077,0.389299
