time,Setpoint__20C_,Room_Temp,Thermostat
34.9,20,9.69845,1
35,20,9.70147,1
35.1,20,9.70446,1
35.2,20,9.70743,1
35.3,20,9.71036,1
35.4,20,9.71326,1
35.5,20,9.71614,1
35.6,20,9.71898,1
35.7,20,9.7218,1
35.8,20,9.72459,1
35.9,20,9.72735,1
36,20,9.73008,1
36.1,20,9.73279,1
36.2,20,9.73547,1
36.3,20,9.73812,1
36.4,20,9.74075,1
36.5,20,9.74335,1
36.6,20,9.74592,1
36.7,20,9.74847,1
36.8,20,9.75099,1
36.9,20,9.75348,1
37,20,9.75596,1
37.1,20,9.7584,1
37.2,20,9.76082,1
37.3,20,9.76322,1
37.4,20,9.7656,1
37.5,20,9.76795,1
37.6,20,9.77027,1
37.7,20,9.77257,1
37.8,20,9.77485,1
37.9,20,9.77711,1
38,20,9.77935,1
38.1,20,9.78156,1
38.2,20,9.78375,1
38.3,20,9.78592,1
38.4,20,9.78806,1
38.5,20,9.79019,1
38.6,20,9.79229,1
38.7,20,9.79437,1
38.8,20,9.79643,1
38.9,20,9.79848,1
39,20,9.8005,1
39.1,20,9.8025,1
39.2,20,9.80448,1
39.3,20,9.80644,1
39.4,20,9.80838,1
39.5,20,9.8103,1
39.6,20,9.8122,1
39.7,20,9.81408,1
39.8,20,9.81595,1
39.9,20,9.81779,1
40,20,9.81962,1
40.1,20,9.82143,1
40.2,20,9.82322,1
40.3,20,9.82499,1
40.4,20,9.82674,1
40.5,20,9.82848,1
40.6,20,9.8302,1
40.7,20,9.8319,1
40.8,20,9.83359,1
40.9,20,9.83526,1
41,20,9.83691,1
41.1,20,9.83854,1
41.2,20,9.84016,1
41.3,20,9.84176,1
41.4,20,9.84335,1
41.5,20,9.84492,1
41.6,20,9.84648,1
41.7,20,9.84801,1
41.8,20,9.84954,1
41.9,20,9.85105,1
42,20,9.85254,1
42.1,20,9.85402,1
42.2,20,9.85548,1
42.3,20,9.85693,1
42.4,20,9.85837,1
42.5,20,9.85979,1
42.6,20,9.86119,1
42.7,20,9.86258,1
42.8,20,9.86396,1
42.9,20,9.86532,1
43,20,9.86667,1
43.1,20,9.86801,1
43.2,20,9.86933,1
43.3,20,9.87064,1
43.4,20,9.87194,1
43.5,20,9.87322,1
43.6,20,9.8745,1
43.7,20,9.87575,1
43.8,20,9.877,1
43.9,20,9.87823,1
44,20,9.87945,1
44.1,20,9.88066,1
44.2,20,9.88186,1
44.3,20,9.88304,1
44.4,20,9.88422,1
44.5,20,9.88538,1
44.6,20,9.88653,1
44.7,20,9.88766,1
44.8,20,9.88879,1
44.9,20,9.8899,1
45,20,9.89101,1
45.1,20,9.8921,1
45.2,20,9.89318,1
45.3,20,9.89425,1
45.4,20,9.89531,1
45.5,20,9.89636,1
45.6,20,9.8974,1
45.7,20,9.89843,1
45.8,20,9.89945,1
45.9,20,9.90046,1
46,20,9.90145,1
46.1,20,9.90244,1
46.2,20,9.90342,1
46.3,20,9.90439,1
46.4,20,9.90535,1
46.5,20,9.9063,1
46.6,20,9.90724,1
46.7,20,9.90817,1
46.8,20,9.90909,1
46.9,20,9.91,1
47,20,9.9109,1
47.1,20,9.91179,1
47.2,20,9.91268,1
47.3,20,9.91355,1
47.4,20,9.91442,1
47.5,20,9.91528,1
47.6,20,9.91613,1
47.7,20,9.91697,1
47.8,20,9.9178,1
47.9,20,9.91862,1
48,20,9.91944,1
48.1,20,9.92025,1
48.2,20,9.92105,1
48.3,20,9.92184,1
48.4,20,9.92262,1
48.5,20,9.9234,1
48.6,20,9.92417,1
48.7,20,9.92493,1
48.8,20,9.92568,1
48.9,20,9.92642,1
49,20,9.92716,1
49.1,20,9.92789,1
49.2,20,9.92861,1
49.3,20,9.92933,1
49.4,20,9.93004,1
49.5,20,9.93074,1
49.6,20,9.93143,1
49.7,20,9.93212,1
49.8,20,9.9328,1
49.9,20,9.93348,1
50,20,9.93414,1
50.1,20,9.9348,1
50.2,20,9.93546,1
50.3,20,9.9361,1
50.4,20,9.93674,1
50.5,20,9.93738,1
50.6,20,9.93801,1
50.7,20,9.93863,1
50.8,20,9.93924,1
50.9,20,9.93985,1
51,20,9.94046,1
51.1,20,9.94105,1
51.2,20,9.94164,1
51.3,20,9.94223,1
51.4,20,9.94281,1
51.5,20,9.94338,1
51.6,20,9.94395,1
51.7,20,9.94451,1
51.8,20,9.94507,1
51.9,20,9.94562,1
52,20,9.94616,1
52.1,20,9.9467,1
52.2,20,9.94724,1
52.3,20,9.94777,1
52.4,20,9.94829,1
52.5,20,9.94881,1
52.6,20,9.94932,1
52.7,20,9.94983,1
52.8,20,9.95033,1
52.9,20,9.95083,1
53,20,9.95132,1
53.1,20,9.95181,1
53.2,20,9.95229,1
53.3,20,9.95277,1
53.4,20,9.95325,1
53.5,20,9.95371,1
53.6,20,9.95418,1
53.7,20,9.95464,1
53.8,20,9.95509,1
53.9,20,9.95554,1
54,20,9.95599,1
54.1,20,9.95643,1
54.2,20,9.95687,1
54.3,20,9.9573,1
54.4,20,9.95773,1
54.5,20,9.95815,1
54.6,20,9.95857,1
54.7,20,9.95899,1
54.8,20,9.9594,1
54.9,20,9.9598,1
55,20,9.96021,1
55.1,20,9.96061,1
55.2,20,9.961,1
55.3,20,9.96139,1
55.4,20,9.96178,1
55.5,20,9.96216,1
55.6,20,9.96254,1
55.7,20,9.96292,1
55.8,20,9.96329,1
55.9,20,9.96366,1
56,20,9.96402,1
56.1,20,9.96438,1
56.2,20,9.96474,1
56.3,20,9.96509,1
56.4,20,9.96544,1
56.5,20,9.96579,1
56.6,20,9.96613,1
56.7,20,9.96647,1
56.8,20,9.96681,1
56.9,20,9.96714,1
57,20,9.96747,1
57.1,20,9.9678,1
57.2,20,9.96812,1
57.3,20,9.96844,1
57.4,20,9.96875,1
57.5,20,9.96907,1
57.6,20,9.96938,1
57.7,20,9.96969,1
57.8,20,9.96999,1
57.9,20,9.97029,1
58,20,9.97059,1
58.1,20,9.97088,1
58.2,20,9.97117,1
58.3,20,9.97146,1
58.4,20,9.97175,1
58.5,20,9.97203,1
58.6,20,9.97231,1
58.7,20,9.97259,1
58.8,20,9.97287,1
58.9,20,9.97314,1
59,20,9.97341,1
59.1,20,9.97367,1
59.2,20,9.97394,1
59.3,20,9.9742,1
59.4,20,9.97446,1
59.5,20,9.97471,1
59.6,20,9.97497,1
59.7,20,9.97522,1
59.8,20,9.97547,1
59.9,20,9.97571,1
60,20,9.97596,1
60.1,20,9.9762,1
60.2,20,9.97644,1
60.3,20,9.97667,1
60.4,20,9.97691,1
60.5,20,9.97714,1
60.6,20,9.97737,1
60.7,20,9.97759,1
60.8,20,9.97782,1
60.9,20,9.97804,1
61,20,9.97826,1
61.1,20,9.97848,1
61.2,20,9.97869,1
61.3,20,9.97891,1
61.4,20,9.97912,1
61.5,20,9.97933,1
61.6,20,9.97954,1
61.7,20,9.97974,1
61.8,20,9.97994,1
61.9,20,9.98015,1
62,20,9.98034,1
62.1,20,9.98054,1
62.2,20,9.98074,1
62.3,20,9.98093,1
62.4,20,9.98112,1
62.5,20,9.98131,1
62.6,20,9.9815,1
62.7,20,9.98168,1
62.8,20,9.98187,1
62.9,20,9.98205,1
63,20,9.98223,1
63.1,20,9.98241,1
63.2,20,9.98258,1
63.3,20,9.98276,1
63.4,20,9.98293,1
63.5,20,9.9831,1
63.6,20,9.98327,1
63.7,20,9.98344,1
63.8,20,9.9836,1
63.9,20,9.98377,1
64,20,9.98393,1
64.1,20,9.98409,1
64.2,20,9.98425,1
64.3,20,9.98441,1
64.4,20,9.98457,1
64.5,20,9.98472,1
64.6,20,9.98487,1
64.7,20,9.98503,1
64.8,20,9.98518,1
64.9,20,9.98532,1
65,20,9.98547,1
65.1,20,9.98562,1
65.2,20,9.98576,1
65.3,20,9.9859,1
65.4,20,9.98605,1
65.5,20,9.98619,1
65.6,20,9.98632,1
65.7,20,9.98646,1
65.8,20,9.9866,1
65.9,20,9.98673,1
66,20,9.98686,1
66.1,20,9.987,1
66.2,20,9.98713,1
66.3,20,9.98726,1
66.4,20,9.98738,1
66.5,20,9.98751,1
66.6,20,9.98763,1
66.7,20,9.98776,1
66.8,20,9.98788,1
66.9,20,9.988,1
67,20,9.98812,1
67.1,20,9.98824,1
67.2,20,9.98836,1
67.3,20,9.98848,1
67.4,20,9.98859,1
67.5,20,9.98871,1
67.6,20,9.98882,1
67.7,20,9.98893,1
67.8,20,9.98904,1
67.9,20,9.98915,1
68,20,9.98926,1
68.1,20,9.98937,1
68.2,20,9.98948,1
68.3,20,9.98958,1
68.4,20,9.98969,1
68.5,20,9.98979,1
68.6,20,9.98989,1
68.7,20,9.98999,1
68.8,20,9.99009,1
68.9,20,9.99019,1
69,20,9.99029,1
69.1,20,9.99039,1
69.2,20,9.99048,1
69.3,20,9.99058,1
69.4,20,9.99067,1
69.5,20,9.99077,1
69.6,20,9.99086,1
69.7,20,9.99095,1
69.8,20,9.99104,1
69.9,20,9.99113,1
70,20,9.99122,1
70.1,20,9.99131,1
70.2,20,9.9914,1
70.3,20,9.99148,1
70.4,20,9.99157,1
70.5,20,9.99165,1
70.6,20,9.99174,1
70.7,20,9.99182,1
70.8,20,9.9919,1
70.9,20,9.99198,1
71,20,9.99206,1
71.1,20,9.99214,1
71.2,20,9.99222,1
71.3,20,9.9923,1
71.4,20,9.99238,1
71.5,20,9.99245,1
71.6,20,9.99253,1
71.7,20,9.9926,1
71.8,20,9.99268,1
71.9,20,9.99275,1
72,20,9.99282,1
72.1,20,9.9929,1
72.2,20,9.99297,1
72.3,20,9.99304,1
72.4,20,9.99311,1
72.5,20,9.99318,1
72.6,20,9.99324,1
72.7,20,9.99331,1
72.8,20,9.99338,1
72.9,20,9.99345,1
73,20,9.99351,1
73.1,20,9.99358,1
73.2,20,9.99364,1
73.3,20,9.9937,1
73.4,20,9.99377,1
73.5,20,9.99383,1
73.6,20,9.99389,1
73.7,20,9.99395,1
73.8,20,9.99401,1
73.9,20,9.99407,1
74,20,9.99413,1
74.1,20,9.99419,1
74.2,20,9.99425,1
74.3,20,9.99431,1
74.4,20,9.99437,1
74.5,20,9.99442,1
74.6,20,9.99448,1
74.7,20,9.99453,1
74.8,20,9.99459,1
74.9,20,9.99464,1
75,20,9.9947,1
75.1,20,9.99475,1
75.2,20,9.9948,1
75.3,20,9.99485,1
75.4,20,9.99491,1
75.5,20,9.99496,1
75.6,20,9.99501,1
75.7,20,9.99506,1
75.8,20,9.99511,1
75.9,20,9.99516,1
76,20,9.9952,1
76.1,20,9.99525,1
76.2,20,9.9953,1
76.3,20,9.99535,1
76.4,20,9.99539,1
76.5,20,9.99544,1
76.6,20,9.99549,1
76.7,20,9.99553,1
76.8,20,9.99558,1
76.9,20,9.99562,1
77,20,9.99566,1
77.1,20,9.99571,1
77.2,20,9.99575,1
77.3,20,9.99579,1
77.4,20,9.99584,1
77.5,20,9.99588,1
77.6,20,9.99592,1
77.7,20,9.99596,1
77.8,20,9.996,1
77.9,20,9.99604,1
78,20,9.99608,1
78.1,20,9.99612,1
78.2,20,9.99616,1
78.3,20,9.9962,1
78.4,20,9.99623,1
78.5,20,9.99627,1
78.6,20,9.99631,1
78.7,20,9.99635,1
78.8,20,9.99638,1
78.9,20,9.99642,1
79,20,9.99646,1
79.1,20,9.99649,1
79.2,20,9.99653,1
79.3,20,9.99656,1
79.4,20,9.9966,1
79.5,20,9.99663,1
79.6,20,9.99666,1
79.7,20,9.9967,1
79.8,20,9.99673,1
79.9,20,9.99676,1
80,20,9.9968,1
80.1,20,9.99683,1
80.2,20,9.99686,1
80.3,20,9.99689,1
80.4,20,9.99692,1
80.5,20,9.99695,1
80.6,20,9.99698,1
80.7,20,9.99701,1
80.8,20,9.99704,1
80.9,20,9.99707,1
81,20,9.9971,1
81.1,20,9.99713,1
81.2,20,9.99716,1
81.3,20,9.99719,1
81.4,20,9.99722,1
81.5,20,9.99724,1
81.6,20,9.99727,1
81.7,20,9.9973,1
