time,Time_Domain,Frequency_Spectrum
0.322,1.0468,1.0468
0.323,1.1368,1.1368
0.324,1.21911,1.21911
0.325,1.29192,1.29192
0.326,1.35355,1.35355
0.327,1.40254,1.40254
0.328,1.43762,1.43762
0.329,1.45782,1.45782
0.33,1.46243,1.46243
0.331,1.45106,1.45106
0.332,1.42362,1.42362
0.333,1.38036,1.38036
0.334,1.32181,1.32181
0.335,1.24884,1.24884
0.336,1.16257,1.16257
0.337,1.06441,1.06441
0.338,0.955964,0.955964
0.339,0.839056,0.839056
0.34,0.715641,0.715641
0.341,0.587785,0.587785
0.342,0.45761,0.45761
0.343,0.327245,0.327245
0.344,0.198784,0.198784
0.345,0.0742319,0.0742319
0.346,-0.0445364,-0.0445364
0.347,-0.155819,-0.155819
0.348,-0.258122,-0.258122
0.349,-0.350195,-0.350195
0.35,-0.431054,-0.431054
0.351,-0.5,-0.5
0.352,-0.556635,-0.556635
0.353,-0.600861,-0.600861
0.354,-0.632885,-0.632885
0.355,-0.653198,-0.653198
0.356,-0.66257,-0.66257
0.357,-0.662017,-0.662017
0.358,-0.652775,-0.652775
0.359,-0.636262,-0.636262
0.36,-0.614044,-0.614044
0.361,-0.587785,-0.587785
0.362,-0.559207,-0.559207
0.363,-0.530039,-0.530039
0.364,-0.501973,-0.501973
0.365,-0.476621,-0.476621
0.366,-0.455464,-0.455464
0.367,-0.439819,-0.439819
0.368,-0.430803,-0.430803
0.369,-0.429299,-0.429299
0.37,-0.435932,-0.435932
0.371,-0.451057,-0.451057
0.372,-0.474739,-0.474739
0.373,-0.506759,-0.506759
0.374,-0.546611,-0.546611
0.375,-0.593518,-0.593518
0.376,-0.646447,-0.646447
0.377,-0.704134,-0.704134
0.378,-0.765119,-0.765119
0.379,-0.827779,-0.827779
0.38,-0.890366,-0.890366
0.381,-0.951057,-0.951057
0.382,-1.00799,-1.00799
0.383,-1.05934,-1.05934
0.384,-1.1033,-1.1033
0.385,-1.13822,-1.13822
0.386,-1.16257,-1.16257
0.387,-1.17502,-1.17502
0.388,-1.17447,-1.17447
0.389,-1.16008,-1.16008
0.39,-1.13127,-1.13127
0.391,-1.08779,-1.08779
0.392,-1.02967,-1.02967
0.393,-0.957282,-0.957282
0.394,-0.871283,-0.871283
0.395,-0.772633,-0.772633
0.396,-0.66257,-0.66257
0.397,-0.542583,-0.542583
0.398,-0.414377,-0.414377
0.399,-0.279842,-0.279842
0.4,-0.141008,-0.141008
0.401,4.04282e-14,4.04282e-14
0.402,0.141008,0.141008
0.403,0.279842,0.279842
0.404,0.414377,0.414377
0.405,0.542583,0.542583
0.406,0.66257,0.66257
0.407,0.772633,0.772633
0.408,0.871283,0.871283
0.409,0.957282,0.957282
0.41,1.02967,1.02967
0.411,1.08779,1.08779
0.412,1.13127,1.13127
0.413,1.16008,1.16008
0.414,1.17447,1.17447
0.415,1.17502,1.17502
0.416,1.16257,1.16257
0.417,1.13822,1.13822
0.418,1.1033,1.1033
0.419,1.05934,1.05934
0.42,1.00799,1.00799
0.421,0.951057,0.951057
0.422,0.890366,0.890366
0.423,0.827779,0.827779
0.424,0.765119,0.765119
0.425,0.704134,0.704134
0.426,0.646447,0.646447
0.427,0.593518,0.593518
0.428,0.546611,0.546611
0.429,0.506759,0.506759
0.43,0.474739,0.474739
0.431,0.451057,0.451057
0.432,0.435932,0.435932
0.433,0.429299,0.429299
0.434,0.430803,0.430803
0.435,0.439819,0.439819
0.436,0.455464,0.455464
0.437,0.476621,0.476621
0.438,0.501973,0.501973
0.439,0.530039,0.530039
0.44,0.559207,0.559207
0.441,0.587785,0.587785
0.442,0.614044,0.614044
0.443,0.636262,0.636262
0.444,0.652775,0.652775
0.445,0.662017,0.662017
0.446,0.66257,0.66257
0.447,0.653198,0.653198
0.448,0.632885,0.632885
0.449,0.600861,0.600861
0.45,0.556635,0.556635
0.451,0.5,0.5
0.452,0.431054,0.431054
0.453,0.350195,0.350195
0.454,0.258122,0.258122
0.455,0.155819,0.155819
0.456,0.0445364,0.0445364
0.457,-0.0742319,-0.0742319
0.458,-0.198784,-0.198784
0.459,-0.327245,-0.327245
0.46,-0.45761,-0.45761
0.461,-0.587785,-0.587785
0.462,-0.715641,-0.715641
0.463,-0.839056,-0.839056
0.464,-0.955964,-0.955964
0.465,-1.06441,-1.06441
0.466,-1.16257,-1.16257
0.467,-1.24884,-1.24884
0.468,-1.32181,-1.32181
0.469,-1.38036,-1.38036
0.47,-1.42362,-1.42362
0.471,-1.45106,-1.45106
0.472,-1.46243,-1.46243
0.473,-1.45782,-1.45782
0.474,-1.43762,-1.43762
0.475,-1.40254,-1.40254
0.476,-1.35355,-1.35355
0.477,-1.29192,-1.29192
0.478,-1.21911,-1.21911
0.479,-1.1368,-1.1368
0.48,-1.0468,-1.0468
0.481,-0.951057,-0.951057
0.482,-0.851559,-0.851559
0.483,-0.750319,-0.750319
0.484,-0.649311,-0.649311
0.485,-0.550435,-0.550435
0.486,-0.455464,-0.455464
0.487,-0.366005,-0.366005
0.488,-0.283465,-0.283465
0.489,-0.209019,-0.209019
0.49,-0.14358,-0.14358
0.491,-0.0877853,-0.0877853
0.492,-0.0419826,-0.0419826
0.493,-0.00622542,-0.00622542
0.494,0.019724,0.019724
0.495,0.0363839,0.0363839
0.496,0.0445364,0.0445364
0.497,0.0452027,0.0452027
0.498,0.0396139,0.0396139
0.499,0.0291753,0.0291753
0.5,0.0154267,0.0154267
0.501,-8.57562e-15,-8.57562e-15
0.502,-0.0154267,-0.0154267
0.503,-0.0291753,-0.0291753
0.504,-0.0396139,-0.0396139
0.505,-0.0452027,-0.0452027
0.506,-0.0445364,-0.0445364
0.507,-0.0363839,-0.0363839
0.508,-0.019724,-0.019724
0.509,0.00622542,0.00622542
0.51,0.0419826,0.0419826
0.511,0.0877853,0.0877853
0.512,0.14358,0.14358
0.513,0.209019,0.209019
0.514,0.283465,0.283465
0.515,0.366005,0.366005
0.516,0.455464,0.455464
0.517,0.550435,0.550435
0.518,0.649311,0.649311
0.519,0.750319,0.750319
0.52,0.851559,0.851559
