time,Speed_Setpoint,DC_Motor,Control_Signal,Error
2.54,1,1.01412,1,0.107263
2.55,1,1.01431,1,0.107068
2.56,1,1.0145,1,0.106874
2.57,1,1.01469,1,0.10668
2.58,1,1.01487,1,0.106488
2.59,1,1.01506,1,0.106297
2.6,1,1.01525,1,0.106106
2.61,1,1.01543,1,0.105917
2.62,1,1.01561,1,0.105728
2.63,1,1.0158,1,0.10554
2.64,1,1.01598,1,0.105353
2.65,1,1.01616,1,0.105167
2.66,1,1.01634,1,0.104982
2.67,1,1.01652,1,0.104798
2.68,1,1.0167,1,0.104615
2.69,1,1.01688,1,0.104432
2.7,1,1.01705,1,0.10425
2.71,1,1.01723,1,0.10407
2.72,1,1.01741,1,0.10389
2.73,1,1.01758,1,0.103711
2.74,1,1.01775,1,0.103533
2.75,1,1.01793,1,0.103355
2.76,1,1.0181,1,0.103179
2.77,1,1.01827,1,0.103003
2.78,1,1.01844,1,0.102828
2.79,1,1.01861,1,0.102654
2.8,1,1.01878,1,0.102481
2.81,1,1.01895,1,0.102309
2.82,1,1.01912,1,0.102138
2.83,1,1.01928,1,0.101967
2.84,1,1.01945,1,0.101797
2.85,1,1.01961,1,0.101628
2.86,1,1.01978,1,0.10146
2.87,1,1.01994,1,0.101292
2.88,1,1.0201,1,0.101126
2.89,1,1.02026,1,0.10096
2.9,1,1.02042,1,0.100795
2.91,1,1.02058,1,0.100631
2.92,1,1.02074,1,0.100467
2.93,1,1.0209,1,0.100304
2.94,1,1.02106,1,0.100142
2.95,1,1.02122,1,0.0999813
2.96,1,1.02137,1,0.0998209
2.97,1,1.02153,1,0.0996613
2.98,1,1.02168,1,0.0995024
2.99,1,1.02184,1,0.0993443
3,1,1.02199,1,0.099187
3.01,1,1.02214,1,0.0990304
3.02,1,1.0223,1,0.0988745
3.03,1,1.02245,1,0.0987194
3.04,1,1.0226,1,0.098565
3.05,1,1.02275,1,0.0984114
3.06,1,1.0229,1,0.0982585
3.07,1,1.02305,1,0.0981063
3.08,1,1.02319,1,0.0979549
3.09,1,1.02334,1,0.0978042
3.1,1,1.02349,1,0.0976542
3.11,1,1.02363,1,0.0975049
3.12,1,1.02378,1,0.0973563
3.13,1,1.02392,1,0.0972084
3.14,1,1.02406,1,0.0970613
3.15,1,1.02421,1,0.0969148
3.16,1,1.02435,1,0.0967691
3.17,1,1.02449,1,0.096624
3.18,1,1.02463,1,0.0964796
3.19,1,1.02477,1,0.0963359
3.2,1,1.02491,1,0.0961929
3.21,1,1.02505,1,0.0960506
3.22,1,1.02519,1,0.095909
3.23,1,1.02533,1,0.095768
3.24,1,1.02546,1,0.0956277
3.25,1,1.0256,1,0.0954881
3.26,1,1.02573,1,0.0953491
3.27,1,1.02587,1,0.0952108
3.28,1,1.026,1,0.0950732
3.29,1,1.02614,1,0.0949362
3.3,1,1.02627,1,0.0947999
3.31,1,1.0264,1,0.0946642
3.32,1,1.02653,1,0.0945292
3.33,1,1.02666,1,0.0943948
3.34,1,1.02679,1,0.094261
3.35,1,1.02692,1,0.0941279
3.36,1,1.02705,1,0.0939955
