time,Velocity,Position
1.55,-0.0434952,0.00630445
1.551,-0.0430404,0.00626106
1.552,-0.0425821,0.00621814
1.553,-0.0421204,0.00617567
1.554,-0.0416554,0.00613367
1.555,-0.0411871,0.00609213
1.556,-0.0407155,0.00605106
1.557,-0.0402407,0.00601047
1.558,-0.0397629,0.00597035
1.559,-0.0392819,0.0059307
1.56,-0.0387979,0.00589154
1.561,-0.0383109,0.00585287
1.562,-0.037821,0.00581468
1.563,-0.0373282,0.00577698
1.564,-0.0368326,0.00573978
1.565,-0.0363343,0.00570307
1.566,-0.0358333,0.00566686
1.567,-0.0353296,0.00563116
1.568,-0.0348233,0.00559595
1.569,-0.0343145,0.00556126
1.57,-0.0338032,0.00552707
1.571,-0.0332895,0.0054934
1.572,-0.0327734,0.00546024
1.573,-0.032255,0.00542759
1.574,-0.0317343,0.00539547
1.575,-0.0312115,0.00536387
1.576,-0.0306865,0.00533279
1.577,-0.0301594,0.00530223
1.578,-0.0296303,0.0052722
1.579,-0.0290992,0.00524271
1.58,-0.0285662,0.00521374
1.581,-0.0280314,0.00518531
1.582,-0.0274947,0.00515741
1.583,-0.0269563,0.00513005
1.584,-0.0264162,0.00510323
1.585,-0.0258745,0.00507695
1.586,-0.0253312,0.00505121
1.587,-0.0247864,0.00502602
1.588,-0.0242401,0.00500137
1.589,-0.0236924,0.00497727
1.59,-0.0231434,0.00495371
1.591,-0.0225931,0.00493071
1.592,-0.0220416,0.00490825
1.593,-0.0214889,0.00488635
1.594,-0.020935,0.004865
1.595,-0.0203802,0.0048442
1.596,-0.0198243,0.00482396
1.597,-0.0192675,0.00480428
1.598,-0.0187098,0.00478515
1.599,-0.0181513,0.00476658
1.6,-0.017592,0.00474857
1.601,-0.017032,0.00473111
1.602,-0.0164713,0.00471422
1.603,-0.0159101,0.00469789
1.604,-0.0153483,0.00468212
1.605,-0.014786,0.00466691
1.606,-0.0142233,0.00465227
1.607,-0.0136602,0.00463819
1.608,-0.0130969,0.00462467
1.609,-0.0125332,0.00461171
1.61,-0.0119694,0.00459932
1.611,-0.0114054,0.00458749
1.612,-0.0108414,0.00457623
1.613,-0.0102773,0.00456553
1.614,-0.00971325,0.00455539
1.615,-0.00914929,0.00454582
1.616,-0.00858547,0.00453681
1.617,-0.00802185,0.00452836
1.618,-0.00745849,0.00452048
1.619,-0.00689543,0.00451317
1.62,-0.00633275,0.00450641
1.621,-0.00577048,0.00450022
1.622,-0.00520869,0.00449459
1.623,-0.00464744,0.00448952
1.624,-0.00408677,0.00448501
1.625,-0.00352675,0.00448107
1.626,-0.00296742,0.00447768
1.627,-0.00240885,0.00447485
1.628,-0.00185108,0.00447258
1.629,-0.00129418,0.00447087
1.63,-0.000738188,0.00446971
1.631,-0.000183169,0.00446911
1.632,0.000370827,0.00446907
1.633,0.000923746,0.00446958
1.634,0.00147554,0.00447064
1.635,0.00202614,0.00447225
1.636,0.00257551,0.00447442
1.637,0.00312359,0.00447713
1.638,0.00367033,0.00448039
1.639,0.00421568,0.0044842
1.64,0.00475958,0.00448855
1.641,0.00530198,0.00449344
1.642,0.00584284,0.00449888
1.643,0.00638209,0.00450486
1.644,0.00691969,0.00451137
1.645,0.0074556,0.00451843
1.646,0.00798975,0.00452601
1.647,0.00852209,0.00453414
1.648,0.00905259,0.00454279
1.649,0.00958118,0.00455198
1.65,0.0101078,0.00456169
1.651,0.0106325,0.00457193
1.652,0.0111551,0.00458269
1.653,0.0116756,0.00459397
1.654,0.0121939,0.00460578
1.655,0.0127101,0.0046181
1.656,0.013224,0.00463094
1.657,0.0137356,0.00464429
1.658,0.0142449,0.00465815
1.659,0.0147518,0.00467253
1.66,0.0152563,0.0046874
1.661,0.0157583,0.00470278
1.662,0.0162578,0.00471867
