time,Reference,Plant
7.27,1,0.999745
7.28,1,0.999746
7.29,1,0.999747
7.3,1,0.999749
7.31,1,0.99975
7.32,1,0.999751
7.33,1,0.999752
7.34,1,0.999753
7.35,1,0.999754
7.36,1,0.999755
7.37,1,0.999756
7.38,1,0.999757
7.39,1,0.999758
7.4,1,0.999759
7.41,1,0.99976
7.42,1,0.999761
7.43,1,0.999762
7.44,1,0.999763
7.45,1,0.999764
7.46,1,0.999765
7.47,1,0.999766
7.48,1,0.999767
7.49,1,0.999768
7.5,1,0.999769
7.51,1,0.99977
7.52,1,0.999771
7.53,1,0.999772
7.54,1,0.999773
7.55,1,0.999774
7.56,1,0.999775
7.57,1,0.999776
7.58,1,0.999777
7.59,1,0.999778
7.6,1,0.999779
7.61,1,0.99978
7.62,1,0.999781
7.63,1,0.999782
7.64,1,0.999783
7.65,1,0.999784
7.66,1,0.999785
7.67,1,0.999786
7.68,1,0.999787
7.69,1,0.999788
7.7,1,0.999788
7.71,1,0.999789
7.72,1,0.99979
7.73,1,0.999791
7.74,1,0.999792
7.75,1,0.999793
7.76,1,0.999794
7.77,1,0.999795
7.78,1,0.999796
7.79,1,0.999797
7.8,1,0.999798
7.81,1,0.999799
7.82,1,0.9998
7.83,1,0.999801
7.84,1,0.999802
7.85,1,0.999803
7.86,1,0.999803
7.87,1,0.999804
7.88,1,0.999805
7.89,1,0.999806
7.9,1,0.999807
7.91,1,0.999808
7.92,1,0.999809
7.93,1,0.99981
7.94,1,0.999811
7.95,1,0.999812
7.96,1,0.999813
7.97,1,0.999814
7.98,1,0.999815
7.99,1,0.999815
8,1,0.999816
8.01,1,0.999817
8.02,1,0.999818
8.03,1,0.999819
8.04,1,0.99982
8.05,1,0.999821
8.06,1,0.999822
8.07,1,0.999823
8.08,1,0.999824
8.09,1,0.999825
8.1,1,0.999826
8.11,1,0.999826
8.12,1,0.999827
8.13,1,0.999828
8.14,1,0.999829
8.15,1,0.99983
8.16,1,0.999831
8.17,1,0.999832
8.18,1,0.999833
8.19,1,0.999834
8.2,1,0.999835
8.21,1,0.999835
8.22,1,0.999836
8.23,1,0.999837
8.24,1,0.999838
8.25,1,0.999839
8.26,1,0.99984
8.27,1,0.999841
8.28,1,0.999842
8.29,1,0.999842
8.3,1,0.999843
8.31,1,0.999844
8.32,1,0.999845
8.33,1,0.999846
8.34,1,0.999847
8.35,1,0.999848
8.36,1,0.999848
8.37,1,0.999849
8.38,1,0.99985
8.39,1,0.999851
8.4,1,0.999852
8.41,1,0.999853
