time,Step_Input,_1__s_1_
5.43,1,0.988066
5.44,1,0.988184
5.45,1,0.988302
5.46,1,0.988418
5.47,1,0.988534
5.48,1,0.988648
5.49,1,0.988761
5.5,1,0.988872
5.51,1,0.988983
5.52,1,0.989093
5.53,1,0.989201
5.54,1,0.989309
5.55,1,0.989415
5.56,1,0.989521
5.57,1,0.989625
5.58,1,0.989728
5.59,1,0.98983
5.6,1,0.989931
5.61,1,0.990032
5.62,1,0.990131
5.63,1,0.990229
5.64,1,0.990326
5.65,1,0.990422
5.66,1,0.990518
5.67,1,0.990612
5.68,1,0.990706
5.69,1,0.990798
5.7,1,0.99089
5.71,1,0.99098
5.72,1,0.99107
5.73,1,0.991159
5.74,1,0.991247
5.75,1,0.991334
5.76,1,0.99142
5.77,1,0.991505
5.78,1,0.99159
5.79,1,0.991674
5.8,1,0.991757
5.81,1,0.991839
5.82,1,0.99192
5.83,1,0.992
5.84,1,0.99208
5.85,1,0.992159
5.86,1,0.992237
5.87,1,0.992314
5.88,1,0.99239
5.89,1,0.992466
5.9,1,0.992541
5.91,1,0.992615
5.92,1,0.992689
5.93,1,0.992761
5.94,1,0.992833
5.95,1,0.992905
5.96,1,0.992975
5.97,1,0.993045
5.98,1,0.993114
5.99,1,0.993183
6,1,0.993251
6.01,1,0.993318
6.02,1,0.993384
6.03,1,0.99345
6.04,1,0.993515
6.05,1,0.99358
6.06,1,0.993644
6.07,1,0.993707
6.08,1,0.99377
6.09,1,0.993832
6.1,1,0.993893
6.11,1,0.993954
6.12,1,0.994014
6.13,1,0.994074
6.14,1,0.994133
6.15,1,0.994191
6.16,1,0.994249
6.17,1,0.994306
6.18,1,0.994363
6.19,1,0.994419
6.2,1,0.994474
6.21,1,0.994529
6.22,1,0.994584
6.23,1,0.994638
6.24,1,0.994691
6.25,1,0.994744
6.26,1,0.994796
6.27,1,0.994848
6.28,1,0.994899
6.29,1,0.99495
6.3,1,0.995
6.31,1,0.99505
6.32,1,0.995099
6.33,1,0.995148
6.34,1,0.995196
6.35,1,0.995244
6.36,1,0.995291
6.37,1,0.995338
6.38,1,0.995384
6.39,1,0.99543
6.4,1,0.995476
6.41,1,0.995521
6.42,1,0.995565
6.43,1,0.99561
6.44,1,0.995653
6.45,1,0.995697
6.46,1,0.995739
6.47,1,0.995782
6.48,1,0.995824
6.49,1,0.995865
6.5,1,0.995906
6.51,1,0.995947
6.52,1,0.995987
6.53,1,0.996027
6.54,1,0.996067
6.55,1,0.996106
6.56,1,0.996145
6.57,1,0.996183
6.58,1,0.996221
6.59,1,0.996259
6.6,1,0.996296
6.61,1,0.996333
6.62,1,0.996369
6.63,1,0.996405
6.64,1,0.996441
6.65,1,0.996477
6.66,1,0.996512
6.67,1,0.996546
6.68,1,0.996581
6.69,1,0.996615
6.7,1,0.996648
6.71,1,0.996682
6.72,1,0.996715
6.73,1,0.996748
6.74,1,0.99678
6.75,1,0.996812
6.76,1,0.996844
6.77,1,0.996875
6.78,1,0.996906
6.79,1,0.996937
6.8,1,0.996967
6.81,1,0.996998
6.82,1,0.997027
6.83,1,0.997057
6.84,1,0.997086
6.85,1,0.997115
6.86,1,0.997144
6.87,1,0.997172
6.88,1,0.997201
6.89,1,0.997228
6.9,1,0.997256
6.91,1,0.997283
6.92,1,0.99731
6.93,1,0.997337
6.94,1,0.997364
6.95,1,0.99739
6.96,1,0.997416
6.97,1,0.997442
6.98,1,0.997467
6.99,1,0.997492
7,1,0.997517
7.01,1,0.997542
7.02,1,0.997566
7.03,1,0.99759
7.04,1,0.997614
7.05,1,0.997638
7.06,1,0.997662
7.07,1,0.997685
7.08,1,0.997708
7.09,1,0.997731
7.1,1,0.997753
7.11,1,0.997776
7.12,1,0.997798
7.13,1,0.99782
7.14,1,0.997841
7.15,1,0.997863
7.16,1,0.997884
7.17,1,0.997905
7.18,1,0.997926
7.19,1,0.997947
7.2,1,0.997967
7.21,1,0.997987
7.22,1,0.998007
7.23,1,0.998027
7.24,1,0.998047
7.25,1,0.998066
7.26,1,0.998086
7.27,1,0.998105
7.28,1,0.998123
7.29,1,0.998142
7.3,1,0.998161
7.31,1,0.998179
7.32,1,0.998197
7.33,1,0.998215
7.34,1,0.998233
7.35,1,0.99825
7.36,1,0.998268
7.37,1,0.998285
7.38,1,0.998302
7.39,1,0.998319
7.4,1,0.998336
7.41,1,0.998352
7.42,1,0.998369
7.43,1,0.998385
7.44,1,0.998401
7.45,1,0.998417
7.46,1,0.998433
7.47,1,0.998448
7.48,1,0.998464
7.49,1,0.998479
7.5,1,0.998494
7.51,1,0.998509
7.52,1,0.998524
7.53,1,0.998539
7.54,1,0.998553
7.55,1,0.998568
7.56,1,0.998582
7.57,1,0.998596
7.58,1,0.99861
7.59,1,0.998624
7.6,1,0.998637
7.61,1,0.998651
7.62,1,0.998664
7.63,1,0.998678
7.64,1,0.998691
7.65,1,0.998704
7.66,1,0.998717
7.67,1,0.998729
7.68,1,0.998742
7.69,1,0.998755
7.7,1,0.998767
7.71,1,0.998779
7.72,1,0.998791
7.73,1,0.998803
7.74,1,0.998815
7.75,1,0.998827
7.76,1,0.998839
7.77,1,0.99885
7.78,1,0.998862
7.79,1,0.998873
7.8,1,0.998884
7.81,1,0.998895
7.82,1,0.998906
7.83,1,0.998917
7.84,1,0.998928
7.85,1,0.998939
7.86,1,0.998949
7.87,1,0.99896
7.88,1,0.99897
7.89,1,0.99898
7.9,1,0.998991
7.91,1,0.999001
7.92,1,0.999011
7.93,1,0.99902
7.94,1,0.99903
7.95,1,0.99904
7.96,1,0.999049
7.97,1,0.999059
7.98,1,0.999068
7.99,1,0.999077
8,1,0.999087
8.01,1,0.999096
8.02,1,0.999105
8.03,1,0.999114
8.04,1,0.999122
8.05,1,0.999131
8.06,1,0.99914
8.07,1,0.999148
8.08,1,0.999157
8.09,1,0.999165
8.1,1,0.999174
8.11,1,0.999182
8.12,1,0.99919
8.13,1,0.999198
8.14,1,0.999206
8.15,1,0.999214
8.16,1,0.999222
8.17,1,0.999229
8.18,1,0.999237
8.19,1,0.999245
8.2,1,0.999252
8.21,1,0.99926
8.22,1,0.999267
8.23,1,0.999274
8.24,1,0.999281
8.25,1,0.999289
8.26,1,0.999296
8.27,1,0.999303
8.28,1,0.99931
8.29,1,0.999317
8.3,1,0.999323
8.31,1,0.99933
8.32,1,0.999337
8.33,1,0.999343
8.34,1,0.99935
8.35,1,0.999356
8.36,1,0.999363
8.37,1,0.999369
8.38,1,0.999375
8.39,1,0.999382
8.4,1,0.999388
8.41,1,0.999394
8.42,1,0.9994
8.43,1,0.999406
8.44,1,0.999412
8.45,1,0.999418
8.46,1,0.999423
8.47,1,0.999429
8.48,1,0.999435
8.49,1,0.99944
8.5,1,0.999446
8.51,1,0.999452
8.52,1,0.999457
8.53,1,0.999462
8.54,1,0.999468
8.55,1,0.999473
8.56,1,0.999478
8.57,1,0.999483
8.58,1,0.999489
