time,Message__1_Hz_,Carrier__20_Hz_,AM_Signal
0.49,0.055248,-0.982287,-0.982287
0.491,0.0502324,-0.951057,-0.951057
0.492,0.0452148,-0.904827,-0.904827
0.493,0.0401955,-0.844328,-0.844328
0.494,0.0351745,-0.770513,-0.770513
0.495,0.0301521,-0.684547,-0.684547
0.496,0.0251286,-0.587785,-0.587785
0.497,0.0201041,-0.481754,-0.481754
0.498,0.0150788,-0.368125,-0.368125
0.499,0.0100528,-0.24869,-0.24869
0.5,0.00502652,-0.125333,-0.125333
0.501,-1.67839e-15,4.01833e-14,4.01833e-14
0.502,-0.00502652,0.125333,0.125333
0.503,-0.0100528,0.24869,0.24869
0.504,-0.0150788,0.368125,0.368125
0.505,-0.0201041,0.481754,0.481754
0.506,-0.0251286,0.587785,0.587785
0.507,-0.0301521,0.684547,0.684547
0.508,-0.0351745,0.770513,0.770513
0.509,-0.0401955,0.844328,0.844328
0.51,-0.0452148,0.904827,0.904827
0.511,-0.0502324,0.951057,0.951057
0.512,-0.055248,0.982287,0.982287
0.513,-0.0602614,0.998027,0.998027
0.514,-0.0652725,0.998027,0.998027
0.515,-0.070281,0.982287,0.982287
0.516,-0.0752867,0.951057,0.951057
0.517,-0.0802894,0.904827,0.904827
0.518,-0.0852889,0.844328,0.844328
0.519,-0.0902851,0.770513,0.770513
0.52,-0.0952777,0.684547,0.684547
0.521,-0.100267,0.587785,0.587785
0.522,-0.105251,0.481754,0.481754
0.523,-0.110232,0.368125,0.368125
0.524,-0.115209,0.24869,0.24869
0.525,-0.12018,0.125333,0.125333
0.526,-0.125148,-4.36135e-14,-4.36135e-14
0.527,-0.13011,-0.125333,-0.125333
0.528,-0.135067,-0.24869,-0.24869
0.529,-0.140018,-0.368125,-0.368125
0.53,-0.144965,-0.481754,-0.481754
0.531,-0.149905,-0.587785,-0.587785
0.532,-0.15484,-0.684547,-0.684547
0.533,-0.159768,-0.770513,-0.770513
0.534,-0.16469,-0.844328,-0.844328
0.535,-0.169606,-0.904827,-0.904827
0.536,-0.174515,-0.951057,-0.951057
0.537,-0.179417,-0.982287,-0.982287
0.538,-0.184312,-0.998027,-0.998027
0.539,-0.189199,-0.998027,-0.998027
0.54,-0.194079,-0.982287,-0.982287
0.541,-0.198952,-0.951057,-0.951057
0.542,-0.203817,-0.904827,-0.904827
0.543,-0.208673,-0.844328,-0.844328
0.544,-0.213522,-0.770513,-0.770513
0.545,-0.218362,-0.684547,-0.684547
0.546,-0.223193,-0.587785,-0.587785
0.547,-0.228015,-0.481754,-0.481754
0.548,-0.232829,-0.368125,-0.368125
0.549,-0.237633,-0.24869,-0.24869
0.55,-0.242428,-0.125333,-0.125333
0.551,-0.247214,4.70438e-14,4.70438e-14
0.552,-0.251989,0.125333,0.125333
0.553,-0.256755,0.24869,0.24869
0.554,-0.26151,0.368125,0.368125
0.555,-0.266256,0.481754,0.481754
