time,Large_Setpoint,Plant__AW_,Plant__Std_,Anti_Windup_PID,Standard_PID
6.56,1,0.982143,0.996113,0.982143,2.02976
6.57,1,0.982143,0.996151,0.982143,2.02966
6.58,1,0.982143,0.99619,0.982143,2.02956
6.59,1,0.982143,0.996227,0.982143,2.02947
6.6,1,0.982143,0.996265,0.982143,2.02937
6.61,1,0.982143,0.996302,0.982143,2.02928
6.62,1,0.982143,0.996339,0.982143,2.02919
6.63,1,0.982143,0.996375,0.982143,2.0291
6.64,1,0.982143,0.996411,0.982143,2.02901
6.65,1,0.982143,0.996447,0.982143,2.02892
6.66,1,0.982143,0.996482,0.982143,2.02883
6.67,1,0.982143,0.996517,0.982143,2.02874
6.68,1,0.982143,0.996552,0.982143,2.02865
6.69,1,0.982143,0.996586,0.982143,2.02857
6.7,1,0.982143,0.99662,0.982143,2.02848
6.71,1,0.982143,0.996654,0.982143,2.0284
6.72,1,0.982143,0.996687,0.982143,2.02832
6.73,1,0.982143,0.99672,0.982143,2.02823
6.74,1,0.982143,0.996753,0.982143,2.02815
6.75,1,0.982143,0.996785,0.982143,2.02807
6.76,1,0.982143,0.996817,0.982143,2.02799
6.77,1,0.982143,0.996849,0.982143,2.02791
6.78,1,0.982143,0.99688,0.982143,2.02783
6.79,1,0.982143,0.996911,0.982143,2.02775
6.8,1,0.982143,0.996942,0.982143,2.02768
6.81,1,0.982143,0.996972,0.982143,2.0276
6.82,1,0.982143,0.997003,0.982143,2.02752
6.83,1,0.982143,0.997032,0.982143,2.02745
6.84,1,0.982143,0.997062,0.982143,2.02738
6.85,1,0.982143,0.997091,0.982143,2.0273
6.86,1,0.982143,0.99712,0.982143,2.02723
6.87,1,0.982143,0.997149,0.982143,2.02716
6.88,1,0.982143,0.997177,0.982143,2.02709
6.89,1,0.982143,0.997205,0.982143,2.02702
6.9,1,0.982143,0.997233,0.982143,2.02695
6.91,1,0.982143,0.997261,0.982143,2.02688
6.92,1,0.982143,0.997288,0.982143,2.02681
6.93,1,0.982143,0.997315,0.982143,2.02674
6.94,1,0.982143,0.997342,0.982143,2.02667
6.95,1,0.982143,0.997368,0.982143,2.02661
6.96,1,0.982143,0.997394,0.982143,2.02654
6.97,1,0.982143,0.99742,0.982143,2.02648
6.98,1,0.982143,0.997446,0.982143,2.02641
6.99,1,0.982143,0.997471,0.982143,2.02635
7,1,0.982143,0.997496,0.982143,2.02629
7.01,1,0.982143,0.997521,0.982143,2.02622
7.02,1,0.982143,0.997546,0.982143,2.02616
7.03,1,0.982143,0.99757,0.982143,2.0261
7.04,1,0.982143,0.997595,0.982143,2.02604
7.05,1,0.982143,0.997618,0.982143,2.02598
7.06,1,0.982143,0.997642,0.982143,2.02592
7.07,1,0.982143,0.997666,0.982143,2.02586
7.08,1,0.982143,0.997689,0.982143,2.0258
7.09,1,0.982143,0.997712,0.982143,2.02575
7.1,1,0.982143,0.997735,0.982143,2.02569
7.11,1,0.982143,0.997757,0.982143,2.02563
7.12,1,0.982143,0.997779,0.982143,2.02558
7.13,1,0.982143,0.997802,0.982143,2.02552
7.14,1,0.982143,0.997823,0.982143,2.02547
7.15,1,0.982143,0.997845,0.982143,2.02541
7.16,1,0.982143,0.997867,0.982143,2.02536
7.17,1,0.982143,0.997888,0.982143,2.0253
7.18,1,0.982143,0.997909,0.982143,2.02525
7.19,1,0.982143,0.99793,0.982143,2.0252
7.2,1,0.982143,0.99795,0.982143,2.02515
7.21,1,0.982143,0.997971,0.982143,2.0251
7.22,1,0.982143,0.997991,0.982143,2.02505
7.23,1,0.982143,0.998011,0.982143,2.025
7.24,1,0.982143,0.998031,0.982143,2.02495
7.25,1,0.982143,0.99805,0.982143,2.0249
7.26,1,0.982143,0.99807,0.982143,2.02485
7.27,1,0.982143,0.998089,0.982143,2.0248
7.28,1,0.982143,0.998108,0.982143,2.02475
7.29,1,0.982143,0.998127,0.982143,2.02471
7.3,1,0.982143,0.998145,0.982143,2.02466
7.31,1,0.982143,0.998164,0.982143,2.02461
7.32,1,0.982143,0.998182,0.982143,2.02457
7.33,1,0.982143,0.9982,0.982143,2.02452
7.34,1,0.982143,0.998218,0.982143,2.02448
7.35,1,0.982143,0.998236,0.982143,2.02443
7.36,1,0.982143,0.998253,0.982143,2.02439
7.37,1,0.982143,0.998271,0.982143,2.02434
7.38,1,0.982143,0.998288,0.982143,2.0243
7.39,1,0.982143,0.998305,0.982143,2.02426
7.4,1,0.982143,0.998322,0.982143,2.02422
7.41,1,0.982143,0.998338,0.982143,2.02417
7.42,1,0.982143,0.998355,0.982143,2.02413
7.43,1,0.982143,0.998371,0.982143,2.02409
7.44,1,0.982143,0.998388,0.982143,2.02405
7.45,1,0.982143,0.998404,0.982143,2.02401
7.46,1,0.982143,0.998419,0.982143,2.02397
7.47,1,0.982143,0.998435,0.982143,2.02393
7.48,1,0.982143,0.998451,0.982143,2.02389
7.49,1,0.982143,0.998466,0.982143,2.02385
7.5,1,0.982143,0.998481,0.982143,2.02382
7.51,1,0.982143,0.998497,0.982143,2.02378
7.52,1,0.982143,0.998512,0.982143,2.02374
7.53,1,0.982143,0.998526,0.982143,2.0237
7.54,1,0.982143,0.998541,0.982143,2.02367
7.55,1,0.982143,0.998556,0.982143,2.02363
7.56,1,0.982143,0.99857,0.982143,2.02359
7.57,1,0.982143,0.998584,0.982143,2.02356
7.58,1,0.982143,0.998598,0.982143,2.02352
7.59,1,0.982143,0.998612,0.982143,2.02349
7.6,1,0.982143,0.998626,0.982143,2.02345
7.61,1,0.982143,0.99864,0.982143,2.02342
7.62,1,0.982143,0.998653,0.982143,2.02339
7.63,1,0.982143,0.998667,0.982143,2.02335
7.64,1,0.982143,0.99868,0.982143,2.02332
7.65,1,0.982143,0.998693,0.982143,2.02329
7.66,1,0.982143,0.998706,0.982143,2.02325
7.67,1,0.982143,0.998719,0.982143,2.02322
7.68,1,0.982143,0.998732,0.982143,2.02319
7.69,1,0.982143,0.998744,0.982143,2.02316
7.7,1,0.982143,0.998757,0.982143,2.02313
7.71,1,0.982143,0.998769,0.982143,2.02309
7.72,1,0.982143,0.998781,0.982143,2.02306
7.73,1,0.982143,0.998793,0.982143,2.02303
7.74,1,0.982143,0.998805,0.982143,2.023
7.75,1,0.982143,0.998817,0.982143,2.02297
7.76,1,0.982143,0.998829,0.982143,2.02294
7.77,1,0.982143,0.998841,0.982143,2.02292
7.78,1,0.982143,0.998852,0.982143,2.02289
7.79,1,0.982143,0.998864,0.982143,2.02286
7.8,1,0.982143,0.998875,0.982143,2.02283
7.81,1,0.982143,0.998886,0.982143,2.0228
7.82,1,0.982143,0.998897,0.982143,2.02277
7.83,1,0.982143,0.998908,0.982143,2.02275
7.84,1,0.982143,0.998919,0.982143,2.02272
7.85,1,0.982143,0.99893,0.982143,2.02269
7.86,1,0.982143,0.998941,0.982143,2.02266
7.87,1,0.982143,0.998951,0.982143,2.02264
7.88,1,0.982143,0.998962,0.982143,2.02261
7.89,1,0.982143,0.998972,0.982143,2.02259
7.9,1,0.982143,0.998982,0.982143,2.02256
7.91,1,0.982143,0.998992,0.982143,2.02254
7.92,1,0.982143,0.999002,0.982143,2.02251
7.93,1,0.982143,0.999012,0.982143,2.02249
7.94,1,0.982143,0.999022,0.982143,2.02246
7.95,1,0.982143,0.999032,0.982143,2.02244
7.96,1,0.982143,0.999041,0.982143,2.02241
7.97,1,0.982143,0.999051,0.982143,2.02239
7.98,1,0.982143,0.99906,0.982143,2.02236
7.99,1,0.982143,0.99907,0.982143,2.02234
8,1,0.982143,0.999079,0.982143,2.02232
8.01,1,0.982143,0.999088,0.982143,2.02229
8.02,1,0.982143,0.999097,0.982143,2.02227
8.03,1,0.982143,0.999106,0.982143,2.02225
8.04,1,0.982143,0.999115,0.982143,2.02223
8.05,1,0.982143,0.999124,0.982143,2.02221
8.06,1,0.982143,0.999133,0.982143,2.02218
8.07,1,0.982143,0.999141,0.982143,2.02216
8.08,1,0.982143,0.99915,0.982143,2.02214
8.09,1,0.982143,0.999158,0.982143,2.02212
8.1,1,0.982143,0.999167,0.982143,2.0221
8.11,1,0.982143,0.999175,0.982143,2.02208
8.12,1,0.982143,0.999183,0.982143,2.02206
8.13,1,0.982143,0.999191,0.982143,2.02204
8.14,1,0.982143,0.999199,0.982143,2.02202
8.15,1,0.982143,0.999207,0.982143,2.022
8.16,1,0.982143,0.999215,0.982143,2.02198
8.17,1,0.982143,0.999223,0.982143,2.02196
8.18,1,0.982143,0.999231,0.982143,2.02194
8.19,1,0.982143,0.999238,0.982143,2.02192
8.2,1,0.982143,0.999246,0.982143,2.0219
8.21,1,0.982143,0.999253,0.982143,2.02188
8.22,1,0.982143,0.999261,0.982143,2.02186
8.23,1,0.982143,0.999268,0.982143,2.02184
8.24,1,0.982143,0.999275,0.982143,2.02183
8.25,1,0.982143,0.999283,0.982143,2.02181
8.26,1,0.982143,0.99929,0.982143,2.02179
8.27,1,0.982143,0.999297,0.982143,2.02177
8.28,1,0.982143,0.999304,0.982143,2.02175
8.29,1,0.982143,0.999311,0.982143,2.02174
8.3,1,0.982143,0.999318,0.982143,2.02172
8.31,1,0.982143,0.999324,0.982143,2.0217
8.32,1,0.982143,0.999331,0.982143,2.02169
8.33,1,0.982143,0.999338,0.982143,2.02167
8.34,1,0.982143,0.999344,0.982143,2.02165
8.35,1,0.982143,0.999351,0.982143,2.02164
8.36,1,0.982143,0.999357,0.982143,2.02162
8.37,1,0.982143,0.999364,0.982143,2.0216
8.38,1,0.982143,0.99937,0.982143,2.02159
8.39,1,0.982143,0.999376,0.982143,2.02157
8.4,1,0.982143,0.999383,0.982143,2.02156
8.41,1,0.982143,0.999389,0.982143,2.02154
8.42,1,0.982143,0.999395,0.982143,2.02153
8.43,1,0.982143,0.999401,0.982143,2.02151
8.44,1,0.982143,0.999407,0.982143,2.0215
8.45,1,0.982143,0.999413,0.982143,2.02148
8.46,1,0.982143,0.999419,0.982143,2.02147
8.47,1,0.982143,0.999424,0.982143,2.02145
8.48,1,0.982143,0.99943,0.982143,2.02144
8.49,1,0.982143,0.999436,0.982143,2.02142
8.5,1,0.982143,0.999441,0.982143,2.02141
8.51,1,0.982143,0.999447,0.982143,2.0214
8.52,1,0.982143,0.999452,0.982143,2.02138
8.53,1,0.982143,0.999458,0.982143,2.02137
8.54,1,0.982143,0.999463,0.982143,2.02135
8.55,1,0.982143,0.999469,0.982143,2.02134
8.56,1,0.982143,0.999474,0.982143,2.02133
8.57,1,0.982143,0.999479,0.982143,2.02131
8.58,1,0.982143,0.999484,0.982143,2.0213
8.59,1,0.982143,0.999489,0.982143,2.02129
8.6,1,0.982143,0.999495,0.982143,2.02128
8.61,1,0.982143,0.9995,0.982143,2.02126
8.62,1,0.982143,0.999505,0.982143,2.02125
8.63,1,0.982143,0.999509,0.982143,2.02124
8.64,1,0.982143,0.999514,0.982143,2.02123
8.65,1,0.982143,0.999519,0.982143,2.02121
8.66,1,0.982143,0.999524,0.982143,2.0212
8.67,1,0.982143,0.999529,0.982143,2.02119
8.68,1,0.982143,0.999533,0.982143,2.02118
8.69,1,0.982143,0.999538,0.982143,2.02117
8.7,1,0.982143,0.999543,0.982143,2.02116
8.71,1,0.982143,0.999547,0.982143,2.02114
8.72,1,0.982143,0.999552,0.982143,2.02113
8.73,1,0.982143,0.999556,0.982143,2.02112
8.74,1,0.982143,0.999561,0.982143,2.02111
8.75,1,0.982143,0.999565,0.982143,2.0211
8.76,1,0.982143,0.999569,0.982143,2.02109
8.77,1,0.982143,0.999574,0.982143,2.02108
8.78,1,0.982143,0.999578,0.982143,2.02107
8.79,1,0.982143,0.999582,0.982143,2.02106
8.8,1,0.982143,0.999586,0.982143,2.02105
8.81,1,0.982143,0.99959,0.982143,2.02104
8.82,1,0.982143,0.999594,0.982143,2.02103
8.83,1,0.982143,0.999598,0.982143,2.02102
8.84,1,0.982143,0.999602,0.982143,2.02101
8.85,1,0.982143,0.999606,0.982143,2.021
8.86,1,0.982143,0.99961,0.982143,2.02099
8.87,1,0.982143,0.999614,0.982143,2.02098
8.88,1,0.982143,0.999618,0.982143,2.02097
8.89,1,0.982143,0.999622,0.982143,2.02096
8.9,1,0.982143,0.999626,0.982143,2.02095
8.91,1,0.982143,0.999629,0.982143,2.02094
8.92,1,0.982143,0.999633,0.982143,2.02093
8.93,1,0.982143,0.999637,0.982143,2.02092
8.94,1,0.982143,0.99964,0.982143,2.02091
8.95,1,0.982143,0.999644,0.982143,2.0209
8.96,1,0.982143,0.999647,0.982143,2.02089
8.97,1,0.982143,0.999651,0.982143,2.02088
8.98,1,0.982143,0.999654,0.982143,2.02088
8.99,1,0.982143,0.999658,0.982143,2.02087
9,1,0.982143,0.999661,0.982143,2.02086
9.01,1,0.982143,0.999665,0.982143,2.02085
9.02,1,0.982143,0.999668,0.982143,2.02084
9.03,1,0.982143,0.999671,0.982143,2.02083
9.04,1,0.982143,0.999674,0.982143,2.02082
9.05,1,0.982143,0.999678,0.982143,2.02082
9.06,1,0.982143,0.999681,0.982143,2.02081
9.07,1,0.982143,0.999684,0.982143,2.0208
9.08,1,0.982143,0.999687,0.982143,2.02079
9.09,1,0.982143,0.99969,0.982143,2.02078
9.1,1,0.982143,0.999693,0.982143,2.02078
9.11,1,0.982143,0.999696,0.982143,2.02077
9.12,1,0.982143,0.999699,0.982143,2.02076
9.13,1,0.982143,0.999702,0.982143,2.02075
9.14,1,0.982143,0.999705,0.982143,2.02075
9.15,1,0.982143,0.999708,0.982143,2.02074
9.16,1,0.982143,0.999711,0.982143,2.02073
9.17,1,0.982143,0.999714,0.982143,2.02073
9.18,1,0.982143,0.999717,0.982143,2.02072
9.19,1,0.982143,0.99972,0.982143,2.02071
9.2,1,0.982143,0.999723,0.982143,2.0207
9.21,1,0.982143,0.999725,0.982143,2.0207
9.22,1,0.982143,0.999728,0.982143,2.02069
9.23,1,0.982143,0.999731,0.982143,2.02068
9.24,1,0.982143,0.999733,0.982143,2.02068
9.25,1,0.982143,0.999736,0.982143,2.02067
9.26,1,0.982143,0.999739,0.982143,2.02066
9.27,1,0.982143,0.999741,0.982143,2.02066
9.28,1,0.982143,0.999744,0.982143,2.02065
9.29,1,0.982143,0.999746,0.982143,2.02064
9.3,1,0.982143,0.999749,0.982143,2.02064
9.31,1,0.982143,0.999751,0.982143,2.02063
9.32,1,0.982143,0.999754,0.982143,2.02063
9.33,1,0.982143,0.999756,0.982143,2.02062
9.34,1,0.982143,0.999759,0.982143,2.02061
9.35,1,0.982143,0.999761,0.982143,2.02061
9.36,1,0.982143,0.999764,0.982143,2.0206
9.37,1,0.982143,0.999766,0.982143,2.0206
9.38,1,0.982143,0.999768,0.982143,2.02059
9.39,1,0.982143,0.999771,0.982143,2.02058
9.4,1,0.982143,0.999773,0.982143,2.02058
9.41,1,0.982143,0.999775,0.982143,2.02057
9.42,1,0.982143,0.999777,0.982143,2.02057
9.43,1,0.982143,0.99978,0.982143,2.02056
