time,Reference,Plant_G_s_,Uncompensated,Compensator_Output
2.37,1,0.348744,0.397186,0.652513
2.38,1,0.351246,0.400664,0.65
2.39,1,0.353729,0.404133,0.647507
2.4,1,0.356192,0.407592,0.645034
2.41,1,0.358635,0.411041,0.642582
2.42,1,0.361057,0.41448,0.640149
2.43,1,0.36346,0.417909,0.637737
2.44,1,0.365841,0.421328,0.635344
2.45,1,0.368203,0.424736,0.632973
2.46,1,0.370544,0.428134,0.630622
2.47,1,0.372864,0.431521,0.628291
2.48,1,0.375164,0.434897,0.625981
2.49,1,0.377443,0.438262,0.623691
2.5,1,0.379702,0.441617,0.621422
2.51,1,0.381939,0.44496,0.619174
2.52,1,0.384156,0.448292,0.616947
2.53,1,0.386353,0.451613,0.61474
2.54,1,0.388528,0.454922,0.612555
2.55,1,0.390682,0.458219,0.61039
2.56,1,0.392816,0.461505,0.608246
2.57,1,0.394929,0.464779,0.606122
2.58,1,0.397021,0.468042,0.60402
2.59,1,0.399092,0.471292,0.601938
2.6,1,0.401142,0.474531,0.599878
2.61,1,0.403171,0.477757,0.597838
2.62,1,0.40518,0.480971,0.595819
2.63,1,0.407167,0.484173,0.593821
2.64,1,0.409134,0.487362,0.591844
2.65,1,0.41108,0.49054,0.589888
2.66,1,0.413005,0.493704,0.587952
2.67,1,0.41491,0.496856,0.586037
2.68,1,0.416793,0.499996,0.584143
2.69,1,0.418656,0.503123,0.58227
2.7,1,0.420499,0.506237,0.580417
2.71,1,0.422321,0.509338,0.578585
2.72,1,0.424122,0.512427,0.576774
2.73,1,0.425903,0.515502,0.574983
2.74,1,0.427663,0.518565,0.573212
2.75,1,0.429403,0.521615,0.571462
2.76,1,0.431122,0.524652,0.569733
2.77,1,0.432821,0.527675,0.568023
2.78,1,0.4345,0.530686,0.566334
2.79,1,0.436159,0.533683,0.564665
2.8,1,0.437798,0.536667,0.563016
2.81,1,0.439417,0.539638,0.561388
2.82,1,0.441016,0.542596,0.559779
2.83,1,0.442595,0.54554,0.55819
2.84,1,0.444154,0.548471,0.556621
2.85,1,0.445693,0.551389,0.555072
2.86,1,0.447213,0.554294,0.553542
2.87,1,0.448713,0.557185,0.552032
2.88,1,0.450194,0.560062,0.550541
2.89,1,0.451656,0.562927,0.54907
2.9,1,0.453098,0.565777,0.547618
2.91,1,0.454521,0.568615,0.546186
2.92,1,0.455925,0.571439,0.544772
2.93,1,0.45731,0.574249,0.543378
2.94,1,0.458677,0.577046,0.542002
2.95,1,0.460024,0.579829,0.540645
2.96,1,0.461353,0.582599,0.539307
2.97,1,0.462663,0.585355,0.537988
2.98,1,0.463955,0.588098,0.536687
2.99,1,0.465228,0.590827,0.535404
3,1,0.466483,0.593543,0.53414
3.01,1,0.46772,0.596245,0.532894
3.02,1,0.468939,0.598934,0.531666
3.03,1,0.470141,0.601609,0.530456
3.04,1,0.471324,0.604271,0.529263
3.05,1,0.47249,0.606919,0.528089
3.06,1,0.473638,0.609553,0.526932
3.07,1,0.474768,0.612174,0.525793
3.08,1,0.475882,0.614782,0.524671
3.09,1,0.476978,0.617376,0.523566
3.1,1,0.478057,0.619956,0.522478
3.11,1,0.479119,0.622524,0.521407
3.12,1,0.480165,0.625077,0.520354
3.13,1,0.481194,0.627617,0.519317
3.14,1,0.482206,0.630144,0.518296
3.15,1,0.483201,0.632658,0.517292
3.16,1,0.484181,0.635157,0.516305
3.17,1,0.485144,0.637644,0.515334
3.18,1,0.486091,0.640117,0.514379
3.19,1,0.487022,0.642577,0.513439
3.2,1,0.487938,0.645024,0.512516
3.21,1,0.488837,0.647457,0.511609
3.22,1,0.489721,0.649877,0.510717
3.23,1,0.49059,0.652284,0.50984
3.24,1,0.491444,0.654677,0.508979
3.25,1,0.492282,0.657057,0.508133
3.26,1,0.493105,0.659424,0.507303
3.27,1,0.493914,0.661778,0.506487
3.28,1,0.494708,0.664119,0.505686
3.29,1,0.495487,0.666447,0.504899
3.3,1,0.496251,0.668761,0.504127
3.31,1,0.497002,0.671063,0.50337
3.32,1,0.497738,0.673352,0.502627
3.33,1,0.49846,0.675627,0.501898
3.34,1,0.499168,0.67789,0.501183
3.35,1,0.499862,0.68014,0.500482
3.36,1,0.500543,0.682377,0.499794
3.37,1,0.50121,0.684601,0.49912
3.38,1,0.501863,0.686812,0.49846
3.39,1,0.502504,0.68901,0.497813
3.4,1,0.503131,0.691196,0.497179
3.41,1,0.503745,0.693369,0.496559
3.42,1,0.504347,0.695529,0.495951
3.43,1,0.504936,0.697677,0.495356
3.44,1,0.505512,0.699812,0.494773
3.45,1,0.506075,0.701935,0.494203
3.46,1,0.506627,0.704045,0.493646
3.47,1,0.507166,0.706142,0.493101
3.48,1,0.507693,0.708227,0.492568
3.49,1,0.508208,0.7103,0.492047
3.5,1,0.508711,0.71236,0.491537
3.51,1,0.509203,0.714409,0.49104
3.52,1,0.509683,0.716444,0.490554
3.53,1,0.510152,0.718468,0.490079
3.54,1,0.51061,0.720479,0.489616
3.55,1,0.511056,0.722478,0.489164
3.56,1,0.511492,0.724465,0.488723
3.57,1,0.511916,0.72644,0.488293
3.58,1,0.51233,0.728403,0.487874
3.59,1,0.512733,0.730354,0.487466
3.6,1,0.513126,0.732293,0.487068
3.61,1,0.513508,0.73422,0.48668
3.62,1,0.51388,0.736136,0.486303
3.63,1,0.514243,0.738039,0.485936
3.64,1,0.514595,0.739931,0.485579
3.65,1,0.514937,0.741811,0.485232
3.66,1,0.51527,0.743679,0.484894
3.67,1,0.515593,0.745536,0.484567
3.68,1,0.515906,0.747381,0.484248
3.69,1,0.51621,0.749215,0.483939
3.7,1,0.516505,0.751037,0.48364
3.71,1,0.516791,0.752848,0.483349
3.72,1,0.517068,0.754647,0.483068
3.73,1,0.517336,0.756435,0.482796
3.74,1,0.517596,0.758212,0.482532
3.75,1,0.517846,0.759978,0.482277
3.76,1,0.518089,0.761732,0.48203
3.77,1,0.518323,0.763475,0.481792
3.78,1,0.518548,0.765207,0.481562
3.79,1,0.518766,0.766928,0.481341
3.8,1,0.518975,0.768638,0.481127
3.81,1,0.519177,0.770337,0.480922
3.82,1,0.519371,0.772025,0.480724
3.83,1,0.519557,0.773702,0.480534
3.84,1,0.519736,0.775369,0.480352
3.85,1,0.519907,0.777025,0.480177
3.86,1,0.520071,0.77867,0.480009
3.87,1,0.520228,0.780304,0.479849
3.88,1,0.520377,0.781928,0.479696
3.89,1,0.52052,0.783541,0.47955
3.9,1,0.520656,0.785144,0.47941
3.91,1,0.520785,0.786736,0.479278
3.92,1,0.520907,0.788317,0.479152
3.93,1,0.521023,0.789889,0.479033
3.94,1,0.521132,0.79145,0.478921
3.95,1,0.521235,0.793001,0.478815
3.96,1,0.521332,0.794541,0.478715
3.97,1,0.521423,0.796072,0.478621
3.98,1,0.521507,0.797592,0.478534
3.99,1,0.521586,0.799103,0.478452
4,1,0.521659,0.800603,0.478376
4.01,1,0.521726,0.802093,0.478306
4.02,1,0.521787,0.803573,0.478242
4.03,1,0.521843,0.805044,0.478183
4.04,1,0.521894,0.806505,0.47813
4.05,1,0.521939,0.807956,0.478082
4.06,1,0.521979,0.809397,0.47804
4.07,1,0.522014,0.810828,0.478002
4.08,1,0.522044,0.81225,0.47797
4.09,1,0.522068,0.813663,0.477943
4.1,1,0.522088,0.815066,0.47792
4.11,1,0.522104,0.816459,0.477903
4.12,1,0.522114,0.817843,0.47789
4.13,1,0.52212,0.819217,0.477882
4.14,1,0.522121,0.820583,0.477878
4.15,1,0.522119,0.821939,0.477879
4.16,1,0.522111,0.823285,0.477884
4.17,1,0.5221,0.824623,0.477894
4.18,1,0.522084,0.825952,0.477907
4.19,1,0.522064,0.827271,0.477925
4.2,1,0.522041,0.828581,0.477947
4.21,1,0.522013,0.829883,0.477972
4.22,1,0.521982,0.831175,0.478002
4.23,1,0.521946,0.832459,0.478035
4.24,1,0.521908,0.833734,0.478072
4.25,1,0.521865,0.835,0.478113
4.26,1,0.521819,0.836257,0.478157
4.27,1,0.52177,0.837505,0.478205
4.28,1,0.521717,0.838745,0.478256
4.29,1,0.521661,0.839977,0.47831
4.3,1,0.521602,0.8412,0.478367
4.31,1,0.52154,0.842414,0.478428
4.32,1,0.521475,0.84362,0.478492
4.33,1,0.521407,0.844817,0.478558
4.34,1,0.521336,0.846006,0.478628
4.35,1,0.521262,0.847187,0.478701
4.36,1,0.521185,0.84836,0.478776
4.37,1,0.521106,0.849524,0.478854
4.38,1,0.521024,0.85068,0.478935
4.39,1,0.520939,0.851828,0.479018
4.4,1,0.520852,0.852969,0.479104
4.41,1,0.520763,0.854101,0.479192
4.42,1,0.520671,0.855225,0.479282
4.43,1,0.520577,0.856341,0.479375
4.44,1,0.520481,0.857449,0.47947
4.45,1,0.520382,0.858549,0.479568
4.46,1,0.520282,0.859642,0.479667
4.47,1,0.520179,0.860727,0.479769
4.48,1,0.520075,0.861804,0.479872
4.49,1,0.519968,0.862874,0.479978
4.5,1,0.51986,0.863936,0.480085
4.51,1,0.51975,0.86499,0.480194
4.52,1,0.519638,0.866037,0.480305
4.53,1,0.519525,0.867076,0.480418
4.54,1,0.51941,0.868108,0.480532
4.55,1,0.519293,0.869133,0.480648
4.56,1,0.519175,0.87015,0.480766
4.57,1,0.519055,0.87116,0.480885
4.58,1,0.518934,0.872163,0.481005
4.59,1,0.518812,0.873159,0.481127
4.6,1,0.518688,0.874147,0.48125
4.61,1,0.518563,0.875128,0.481374
4.62,1,0.518437,0.876102,0.4815
4.63,1,0.518309,0.87707,0.481627
4.64,1,0.518181,0.87803,0.481755
4.65,1,0.518051,0.878983,0.481884
4.66,1,0.517921,0.87993,0.482014
4.67,1,0.517789,0.880869,0.482145
4.68,1,0.517657,0.881802,0.482277
4.69,1,0.517523,0.882728,0.48241
4.7,1,0.517389,0.883647,0.482544
4.71,1,0.517254,0.88456,0.482678
4.72,1,0.517118,0.885465,0.482814
4.73,1,0.516982,0.886365,0.48295
4.74,1,0.516845,0.887257,0.483087
4.75,1,0.516707,0.888144,0.483224
4.76,1,0.516568,0.889023,0.483362
4.77,1,0.51643,0.889897,0.483501
4.78,1,0.51629,0.890764,0.48364
4.79,1,0.51615,0.891624,0.48378
4.8,1,0.51601,0.892479,0.48392
4.81,1,0.515869,0.893327,0.48406
4.82,1,0.515728,0.894168,0.484201
4.83,1,0.515587,0.895004,0.484343
4.84,1,0.515445,0.895833,0.484484
4.85,1,0.515303,0.896657,0.484626
4.86,1,0.515161,0.897474,0.484768
4.87,1,0.515018,0.898285,0.48491
4.88,1,0.514876,0.89909,0.485053
4.89,1,0.514733,0.89989,0.485196
4.9,1,0.51459,0.900683,0.485338
4.91,1,0.514447,0.901471,0.485481
4.92,1,0.514304,0.902252,0.485624
4.93,1,0.514161,0.903028,0.485767
4.94,1,0.514018,0.903798,0.48591
4.95,1,0.513876,0.904562,0.486053
4.96,1,0.513733,0.905321,0.486196
4.97,1,0.51359,0.906074,0.486339
4.98,1,0.513447,0.906822,0.486481
4.99,1,0.513305,0.907563,0.486624
5,1,0.513163,0.9083,0.486766
5.01,1,0.513021,0.909031,0.486908
5.02,1,0.512879,0.909756,0.48705
5.03,1,0.512737,0.910476,0.487192
5.04,1,0.512596,0.91119,0.487333
5.05,1,0.512455,0.911899,0.487475
5.06,1,0.512314,0.912603,0.487615
5.07,1,0.512174,0.913302,0.487756
5.08,1,0.512034,0.913995,0.487896
5.09,1,0.511894,0.914683,0.488036
5.1,1,0.511755,0.915366,0.488176
5.11,1,0.511616,0.916044,0.488315
5.12,1,0.511478,0.916717,0.488453
5.13,1,0.51134,0.917384,0.488591
5.14,1,0.511202,0.918047,0.488729
5.15,1,0.511065,0.918704,0.488866
5.16,1,0.510929,0.919357,0.489003
5.17,1,0.510793,0.920004,0.489139
5.18,1,0.510658,0.920647,0.489275
5.19,1,0.510523,0.921285,0.48941
5.2,1,0.510389,0.921918,0.489544
5.21,1,0.510255,0.922546,0.489678
5.22,1,0.510122,0.92317,0.489812
5.23,1,0.50999,0.923788,0.489944
5.24,1,0.509858,0.924402,0.490076
5.25,1,0.509727,0.925012,0.490208
5.26,1,0.509596,0.925616,0.490339
5.27,1,0.509466,0.926217,0.490469
5.28,1,0.509337,0.926812,0.490598
5.29,1,0.509209,0.927403,0.490727
5.3,1,0.509081,0.927989,0.490855
5.31,1,0.508954,0.928571,0.490983
5.32,1,0.508828,0.929149,0.491109
5.33,1,0.508702,0.929722,0.491235
5.34,1,0.508578,0.930291,0.49136
5.35,1,0.508454,0.930855,0.491485
5.36,1,0.50833,0.931415,0.491608
5.37,1,0.508208,0.931971,0.491731
5.38,1,0.508086,0.932522,0.491853
5.39,1,0.507965,0.933069,0.491974
5.4,1,0.507845,0.933612,0.492095
5.41,1,0.507726,0.934151,0.492214
5.42,1,0.507608,0.934686,0.492333
5.43,1,0.50749,0.935216,0.492451
5.44,1,0.507373,0.935743,0.492568
5.45,1,0.507258,0.936265,0.492685
5.46,1,0.507143,0.936784,0.4928
5.47,1,0.507028,0.937298,0.492915
5.48,1,0.506915,0.937808,0.493029
5.49,1,0.506803,0.938315,0.493141
5.5,1,0.506691,0.938817,0.493253
5.51,1,0.50658,0.939316,0.493365
5.52,1,0.50647,0.939811,0.493475
5.53,1,0.506361,0.940301,0.493584
5.54,1,0.506253,0.940789,0.493693
5.55,1,0.506146,0.941272,0.4938
5.56,1,0.50604,0.941751,0.493907
5.57,1,0.505935,0.942227,0.494013
5.58,1,0.50583,0.942699,0.494118
5.59,1,0.505726,0.943168,0.494222
5.6,1,0.505624,0.943633,0.494325
5.61,1,0.505522,0.944094,0.494427
5.62,1,0.505421,0.944551,0.494529
5.63,1,0.505321,0.945005,0.494629
5.64,1,0.505222,0.945456,0.494728
5.65,1,0.505124,0.945903,0.494827
5.66,1,0.505027,0.946346,0.494925
5.67,1,0.504931,0.946786,0.495021
5.68,1,0.504836,0.947223,0.495117
5.69,1,0.504741,0.947656,0.495212
5.7,1,0.504648,0.948086,0.495306
5.71,1,0.504555,0.948512,0.495399
5.72,1,0.504464,0.948935,0.495491
5.73,1,0.504373,0.949355,0.495582
5.74,1,0.504283,0.949771,0.495672
5.75,1,0.504194,0.950184,0.495762
5.76,1,0.504106,0.950594,0.49585
5.77,1,0.504019,0.951001,0.495937
5.78,1,0.503933,0.951404,0.496024
5.79,1,0.503848,0.951805,0.49611
5.8,1,0.503764,0.952202,0.496194
5.81,1,0.50368,0.952596,0.496278
5.82,1,0.503598,0.952986,0.496361
5.83,1,0.503517,0.953374,0.496443
5.84,1,0.503436,0.953759,0.496524
5.85,1,0.503356,0.954141,0.496604
5.86,1,0.503278,0.954519,0.496683
5.87,1,0.5032,0.954895,0.496762
5.88,1,0.503123,0.955268,0.496839
