time,Scope
5.02,0.0627905
5.03,0.125333
5.04,0.187381
5.05,0.24869
5.06,0.309017
5.07,0.368125
5.08,0.425779
5.09,0.481754
5.1,0.535827
5.11,0.587785
5.12,0.637424
5.13,0.684547
5.14,0.728969
5.15,0.770513
5.16,0.809017
5.17,0.844328
5.18,0.876307
5.19,0.904827
5.2,0.929776
5.21,0.951057
5.22,0.968583
5.23,0.982287
5.24,0.992115
5.25,0.998027
5.26,1
5.27,0.998027
5.28,0.992115
5.29,0.982287
5.3,0.968583
5.31,0.951057
5.32,0.929776
5.33,0.904827
5.34,0.876307
5.35,0.844328
5.36,0.809017
5.37,0.770513
5.38,0.728969
5.39,0.684547
5.4,0.637424
5.41,0.587785
5.42,0.535827
5.43,0.481754
5.44,0.425779
5.45,0.368125
5.46,0.309017
5.47,0.24869
5.48,0.187381
5.49,0.125333
5.5,0.0627905
5.51,4.59647e-13
5.52,-0.0627905
5.53,-0.125333
5.54,-0.187381
5.55,-0.24869
5.56,-0.309017
5.57,-0.368125
5.58,-0.425779
5.59,-0.481754
5.6,-0.535827
5.61,-0.587785
5.62,-0.637424
5.63,-0.684547
5.64,-0.728969
5.65,-0.770513
5.66,-0.809017
5.67,-0.844328
5.68,-0.876307
5.69,-0.904827
5.7,-0.929776
5.71,-0.951057
5.72,-0.968583
5.73,-0.982287
5.74,-0.992115
5.75,-0.998027
5.76,-1
5.77,-0.998027
5.78,-0.992115
5.79,-0.982287
5.8,-0.968583
5.81,-0.951057
5.82,-0.929776
5.83,-0.904827
5.84,-0.876307
5.85,-0.844328
5.86,-0.809017
5.87,-0.770513
5.88,-0.728969
5.89,-0.684547
5.9,-0.637424
5.91,-0.587785
5.92,-0.535827
5.93,-0.481754
5.94,-0.425779
5.95,-0.368125
5.96,-0.309017
5.97,-0.24869
5.98,-0.187381
5.99,-0.125333
6,-0.0627905
6.01,-5.27271e-13
6.02,0.0627905
6.03,0.125333
6.04,0.187381
6.05,0.24869
6.06,0.309017
6.07,0.368125
6.08,0.425779
6.09,0.481754
6.1,0.535827
6.11,0.587785
6.12,0.637424
6.13,0.684547
6.14,0.728969
6.15,0.770513
6.16,0.809017
6.17,0.844328
6.18,0.876307
6.19,0.904827
6.2,0.929776
6.21,0.951057
6.22,0.968583
6.23,0.982287
6.24,0.992115
6.25,0.998027
6.26,1
6.27,0.998027
6.28,0.992115
6.29,0.982287
6.3,0.968583
6.31,0.951057
6.32,0.929776
6.33,0.904827
6.34,0.876307
6.35,0.844328
6.36,0.809017
6.37,0.770513
6.38,0.728969
6.39,0.684547
6.4,0.637424
6.41,0.587785
6.42,0.535827
6.43,0.481754
6.44,0.425779
6.45,0.368125
6.46,0.309017
6.47,0.24869
6.48,0.187381
6.49,0.125333
6.5,0.0627905
6.51,5.94895e-13
6.52,-0.0627905
6.53,-0.125333
6.54,-0.187381
6.55,-0.24869
6.56,-0.309017
6.57,-0.368125
6.58,-0.425779
6.59,-0.481754
6.6,-0.535827
6.61,-0.587785
6.62,-0.637424
6.63,-0.684547
6.64,-0.728969
6.65,-0.770513
6.66,-0.809017
6.67,-0.844328
6.68,-0.876307
6.69,-0.904827
6.7,-0.929776
6.71,-0.951057
6.72,-0.968583
6.73,-0.982287
6.74,-0.992115
6.75,-0.998027
6.76,-1
6.77,-0.998027
6.78,-0.992115
6.79,-0.982287
6.8,-0.968583
6.81,-0.951057
6.82,-0.929776
6.83,-0.904827
6.84,-0.876307
6.85,-0.844328
6.86,-0.809017
6.87,-0.770513
6.88,-0.728969
6.89,-0.684547
6.9,-0.637424
6.91,-0.587785
6.92,-0.535827
6.93,-0.481754
6.94,-0.425779
6.95,-0.368125
6.96,-0.309017
6.97,-0.24869
6.98,-0.187381
6.99,-0.125333
7,-0.0627905
7.01,-6.62519e-13
7.02,0.0627905
7.03,0.125333
7.04,0.187381
7.05,0.24869
7.06,0.309017
7.07,0.368125
7.08,0.425779
7.09,0.481754
7.1,0.535827
7.11,0.587785
7.12,0.637424
7.13,0.684547
7.14,0.728969
7.15,0.770513
7.16,0.809017
7.17,0.844328
7.18,0.876307
7.19,0.904827
7.2,0.929776
7.21,0.951057
7.22,0.968583
7.23,0.982287
7.24,0.992115
7.25,0.998027
7.26,1
7.27,0.998027
7.28,0.992115
7.29,0.982287
7.3,0.968583
7.31,0.951057
7.32,0.929776
7.33,0.904827
7.34,0.876307
7.35,0.844328
7.36,0.809017
7.37,0.770513
7.38,0.728969
7.39,0.684547
7.4,0.637424
7.41,0.587785
7.42,0.535827
7.43,0.481754
7.44,0.425779
7.45,0.368125
7.46,0.309017
7.47,0.24869
7.48,0.187381
7.49,0.125333
7.5,0.0627905
7.51,7.30143e-13
7.52,-0.0627905
7.53,-0.125333
7.54,-0.187381
7.55,-0.24869
7.56,-0.309017
7.57,-0.368125
7.58,-0.425779
7.59,-0.481754
7.6,-0.535827
7.61,-0.587785
7.62,-0.637424
7.63,-0.684547
7.64,-0.728969
7.65,-0.770513
7.66,-0.809017
7.67,-0.844328
7.68,-0.876307
7.69,-0.904827
7.7,-0.929776
7.71,-0.951057
7.72,-0.968583
7.73,-0.982287
7.74,-0.992115
7.75,-0.998027
7.76,-1
7.77,-0.998027
7.78,-0.992115
7.79,-0.982287
7.8,-0.968583
7.81,-0.951057
7.82,-0.929776
7.83,-0.904827
7.84,-0.876307
7.85,-0.844328
7.86,-0.809017
7.87,-0.770513
7.88,-0.728969
7.89,-0.684547
7.9,-0.637424
7.91,-0.587785
7.92,-0.535827
7.93,-0.481754
7.94,-0.425779
7.95,-0.368125
7.96,-0.309017
7.97,-0.24869
7.98,-0.187381
7.99,-0.125333
8,-0.0627905
8.01,-7.97767e-13
8.02,0.0627905
8.03,0.125333
8.04,0.187381
8.05,0.24869
8.06,0.309017
8.07,0.368125
8.08,0.425779
8.09,0.481754
8.1,0.535827
8.11,0.587785
8.12,0.637424
8.13,0.684547
8.14,0.728969
8.15,0.770513
8.16,0.809017
8.17,0.844328
8.18,0.876307
8.19,0.904827
8.2,0.929776
8.21,0.951057
8.22,0.968583
8.23,0.982287
8.24,0.992115
8.25,0.998027
8.26,1
8.27,0.998027
8.28,0.992115
8.29,0.982287
8.3,0.968583
8.31,0.951057
8.32,0.929776
8.33,0.904827
8.34,0.876307
8.35,0.844328
8.36,0.809017
8.37,0.770513
8.38,0.728969
8.39,0.684547
8.4,0.637424
8.41,0.587785
8.42,0.535827
8.43,0.481754
8.44,0.425779
8.45,0.368125
8.46,0.309017
8.47,0.24869
8.48,0.187381
8.49,0.125333
8.5,0.0627905
8.51,8.58286e-13
8.52,-0.0627905
8.53,-0.125333
8.54,-0.187381
8.55,-0.24869
8.56,-0.309017
8.57,-0.368125
8.58,-0.425779
8.59,-0.481754
8.6,-0.535827
8.61,-0.587785
8.62,-0.637424
8.63,-0.684547
8.64,-0.728969
8.65,-0.770513
8.66,-0.809017
8.67,-0.844328
8.68,-0.876307
8.69,-0.904827
8.7,-0.929776
8.71,-0.951057
8.72,-0.968583
8.73,-0.982287
8.74,-0.992115
8.75,-0.998027
8.76,-1
8.77,-0.998027
8.78,-0.992115
8.79,-0.982287
8.8,-0.968583
8.81,-0.951057
8.82,-0.929776
8.83,-0.904827
8.84,-0.876307
8.85,-0.844328
8.86,-0.809017
8.87,-0.770513
8.88,-0.728969
8.89,-0.684547
8.9,-0.637424
8.91,-0.587785
8.92,-0.535827
8.93,-0.481754
8.94,-0.425779
8.95,-0.368125
8.96,-0.309017
8.97,-0.24869
8.98,-0.187381
8.99,-0.125333
9,-0.0627905
9.01,-9.2591e-13
9.02,0.0627905
9.03,0.125333
9.04,0.187381
9.05,0.24869
9.06,0.309017
9.07,0.368125
9.08,0.425779
9.09,0.481754
9.1,0.535827
9.11,0.587785
9.12,0.637424
9.13,0.684547
9.14,0.728969
9.15,0.770513
9.16,0.809017
9.17,0.844328
9.18,0.876307
9.19,0.904827
9.2,0.929776
9.21,0.951057
9.22,0.968583
9.23,0.982287
9.24,0.992115
9.25,0.998027
9.26,1
9.27,0.998027
9.28,0.992115
9.29,0.982287
9.3,0.968583
9.31,0.951057
9.32,0.929776
9.33,0.904827
9.34,0.876307
9.35,0.844328
9.36,0.809017
9.37,0.770513
9.38,0.728969
9.39,0.684547
9.4,0.637424
9.41,0.587785
9.42,0.535827
9.43,0.481754
9.44,0.425779
9.45,0.368125
9.46,0.309017
9.47,0.24869
9.48,0.187381
9.49,0.125333
9.5,0.0627905
9.51,9.93534e-13
9.52,-0.0627905
9.53,-0.125333
9.54,-0.187381
9.55,-0.24869
9.56,-0.309017
9.57,-0.368125
9.58,-0.425779
9.59,-0.481754
9.6,-0.535827
9.61,-0.587785
9.62,-0.637424
9.63,-0.684547
9.64,-0.728969
9.65,-0.770513
9.66,-0.809017
9.67,-0.844328
9.68,-0.876307
9.69,-0.904827
9.7,-0.929776
9.71,-0.951057
9.72,-0.968583
9.73,-0.982287
9.74,-0.992115
9.75,-0.998027
9.76,-1
9.77,-0.998027
9.78,-0.992115
9.79,-0.982287
9.8,-0.968583
9.81,-0.951057
9.82,-0.929776
9.83,-0.904827
9.84,-0.876307
9.85,-0.844328
9.86,-0.809017
9.87,-0.770513
9.88,-0.728969
9.89,-0.684547
9.9,-0.637424
9.91,-0.587785
9.92,-0.535827
9.93,-0.481754
9.94,-0.425779
9.95,-0.368125
9.96,-0.309017
9.97,-0.24869
9.98,-0.187381
9.99,-0.125333
10,-0.0627905
