time,Setpoint,Plant__PI_,Plant__PD_,PI_Controller,PD_Controller
3.8,1,0.499994,0.981308,1.00001,1.96262
3.81,1,0.499994,0.981308,1.00001,1.96262
3.82,1,0.499995,0.981308,1.00001,1.96262
3.83,1,0.499995,0.981308,1.00001,1.96262
3.84,1,0.499995,0.981308,1.00001,1.96262
3.85,1,0.499995,0.981308,1.00001,1.96262
3.86,1,0.499995,0.981308,1.00001,1.96262
3.87,1,0.499996,0.981308,1.00001,1.96262
3.88,1,0.499996,0.981308,1.00001,1.96262
3.89,1,0.499996,0.981308,1.00001,1.96262
3.9,1,0.499996,0.981308,1.00001,1.96262
3.91,1,0.499996,0.981308,1.00001,1.96262
3.92,1,0.499996,0.981308,1.00001,1.96262
3.93,1,0.499996,0.981308,1.00001,1.96262
3.94,1,0.499997,0.981308,1.00001,1.96262
3.95,1,0.499997,0.981308,1.00001,1.96262
3.96,1,0.499997,0.981308,1.00001,1.96262
3.97,1,0.499997,0.981308,1.00001,1.96262
3.98,1,0.499997,0.981308,1.00001,1.96262
3.99,1,0.499997,0.981308,1.00001,1.96262
4,1,0.499997,0.981308,1.00001,1.96262
4.01,1,0.499997,0.981308,1.00001,1.96262
4.02,1,0.499998,0.981308,1,1.96262
4.03,1,0.499998,0.981308,1,1.96262
4.04,1,0.499998,0.981308,1,1.96262
4.05,1,0.499998,0.981308,1,1.96262
4.06,1,0.499998,0.981308,1,1.96262
4.07,1,0.499998,0.981308,1,1.96262
4.08,1,0.499998,0.981308,1,1.96262
4.09,1,0.499998,0.981308,1,1.96262
4.1,1,0.499998,0.981308,1,1.96262
4.11,1,0.499998,0.981308,1,1.96262
4.12,1,0.499998,0.981308,1,1.96262
4.13,1,0.499998,0.981308,1,1.96262
4.14,1,0.499999,0.981308,1,1.96262
4.15,1,0.499999,0.981308,1,1.96262
4.16,1,0.499999,0.981308,1,1.96262
4.17,1,0.499999,0.981308,1,1.96262
4.18,1,0.499999,0.981308,1,1.96262
4.19,1,0.499999,0.981308,1,1.96262
4.2,1,0.499999,0.981308,1,1.96262
4.21,1,0.499999,0.981308,1,1.96262
4.22,1,0.499999,0.981308,1,1.96262
4.23,1,0.499999,0.981308,1,1.96262
4.24,1,0.499999,0.981308,1,1.96262
4.25,1,0.499999,0.981308,1,1.96262
4.26,1,0.499999,0.981308,1,1.96262
4.27,1,0.499999,0.981308,1,1.96262
4.28,1,0.499999,0.981308,1,1.96262
4.29,1,0.499999,0.981308,1,1.96262
4.3,1,0.499999,0.981308,1,1.96262
4.31,1,0.499999,0.981308,1,1.96262
4.32,1,0.499999,0.981308,1,1.96262
4.33,1,0.499999,0.981308,1,1.96262
4.34,1,0.499999,0.981308,1,1.96262
4.35,1,0.499999,0.981308,1,1.96262
4.36,1,0.499999,0.981308,1,1.96262
4.37,1,0.499999,0.981308,1,1.96262
4.38,1,0.499999,0.981308,1,1.96262
4.39,1,0.499999,0.981308,1,1.96262
4.4,1,0.499999,0.981308,1,1.96262
4.41,1,0.5,0.981308,1,1.96262
4.42,1,0.5,0.981308,1,1.96262
4.43,1,0.5,0.981308,1,1.96262
4.44,1,0.5,0.981308,1,1.96262
4.45,1,0.5,0.981308,1,1.96262
4.46,1,0.5,0.981308,1,1.96262
